region_id,region_name,federal_district,year,unemployment_rate,avg_salary,gdp_per_capita,investment_per_capita,poverty_rate,higher_education_share,rd_spending_pct_gdp,migration_growth,emissions_per_gdp,roads_per_area
rostov,Ростовская область,ЮФО,2020,5.0,35.6,406.0,77.7,13.0,3.1,0.85,36.0,0.1,267.0
rostov,Ростовская область,ЮФО,2021,4.0,39.3,485.9,93.7,12.0,3.1,0.7,44.0,0.09,268.7
rostov,Ростовская область,ЮФО,2022,3.5,44.8,554.7,112.6,10.2,3.1,0.6,-1.0,0.05,270.4
rostov,Ростовская область,ЮФО,2023,3.1,52.1,647.6,155.3,9.6,3.3,0.67,24.0,0.05,272.8
rostov,Ростовская область,ЮФО,2024,2.4,62.5,,173.1,7.7,3.3,,,,275.7
krasnodar,Краснодарский край,ЮФО,2020,5.7,38.5,459.5,89.3,10.6,1.8,0.28,76.0,0.16,486.2
krasnodar,Краснодарский край,ЮФО,2021,5.0,43.5,563.4,95.9,9.9,1.7,0.32,92.0,0.13,485.1
krasnodar,Краснодарский край,ЮФО,2022,3.5,50.3,736.2,129.3,9.2,1.7,0.21,20.0,0.08,477.7
krasnodar,Краснодарский край,ЮФО,2023,2.0,58.3,819.1,149.3,8.7,1.8,0.19,56.0,0.08,481.0
krasnodar,Краснодарский край,ЮФО,2024,2.0,70.4,,191.8,7.0,1.8,,,,489.3
volgograd,Волгоградская область,ЮФО,2020,7.6,36.0,388.0,72.6,12.1,2.3,0.4,29.0,0.18,147.5
volgograd,Волгоградская область,ЮФО,2021,4.9,39.0,426.4,74.4,11.5,2.3,0.45,25.0,0.21,150.9
volgograd,Волгоградская область,ЮФО,2022,3.5,44.2,486.9,88.6,9.4,2.3,0.45,-25.0,0.18,152.5
volgograd,Волгоградская область,ЮФО,2023,2.9,51.8,562.5,118.4,9.1,2.4,0.48,-5.0,0.12,153.4
volgograd,Волгоградская область,ЮФО,2024,2.4,61.3,,149.2,7.5,2.5,,,,155.4
astrakhan,Астраханская область,ЮФО,2020,7.9,38.9,541.1,118.1,15.2,3.0,0.13,-84.0,0.21,83.2
astrakhan,Астраханская область,ЮФО,2021,7.7,42.1,689.0,119.9,15.0,3.0,0.12,-59.0,0.14,84.0
astrakhan,Астраханская область,ЮФО,2022,7.0,47.8,800.6,91.5,12.5,2.9,0.09,-50.0,0.14,84.0
astrakhan,Астраханская область,ЮФО,2023,4.4,54.0,820.0,94.2,12.0,3.0,0.2,-25.0,0.13,84.8
astrakhan,Астраханская область,ЮФО,2024,2.7,62.6,,122.3,10.6,3.0,,,,85.0
kalmykia,Республика Калмыкия,ЮФО,2020,9.6,32.0,348.9,142.0,22.7,3.3,0.16,-37.0,0.03,51.2
kalmykia,Республика Калмыкия,ЮФО,2021,9.0,33.0,382.5,66.7,22.6,3.2,0.13,-56.0,0.04,51.4
kalmykia,Республика Калмыкия,ЮФО,2022,8.1,36.3,451.2,59.6,20.6,3.3,0.13,-60.0,0.03,51.6
kalmykia,Республика Калмыкия,ЮФО,2023,6.5,42.2,627.6,50.2,17.8,3.3,0.08,91.0,0.03,51.3
kalmykia,Республика Калмыкия,ЮФО,2024,5.1,49.2,,86.6,13.2,3.2,,,,52.5
adygea,Республика Адыгея,ЮФО,2020,8.5,32.2,292.3,82.7,13.2,2.9,0.15,94.0,0.06,575.9
adygea,Республика Адыгея,ЮФО,2021,8.3,36.0,346.7,72.6,12.2,2.8,0.18,214.0,0.05,576.6
adygea,Республика Адыгея,ЮФО,2022,7.1,40.2,384.6,93.7,12.3,2.9,0.16,30.0,0.09,578.6
adygea,Республика Адыгея,ЮФО,2023,4.0,46.4,446.7,119.0,11.1,3.0,0.13,71.0,0.09,578.8
adygea,Республика Адыгея,ЮФО,2024,2.6,56.3,,137.7,8.6,3.1,,,,576.0
stavropol,Ставропольский край,СКФО,2020,6.2,33.9,291.6,80.0,14.3,2.3,0.26,32.0,0.13,275.5
stavropol,Ставропольский край,СКФО,2021,5.3,37.4,357.5,87.5,13.5,2.2,0.26,48.0,0.12,276.5
stavropol,Ставропольский край,СКФО,2022,4.3,41.4,406.6,98.9,11.2,2.2,0.27,-10.0,0.09,277.2
stavropol,Ставропольский край,СКФО,2023,3.8,47.1,464.2,119.3,11.0,2.3,0.31,5.0,0.07,280.7
stavropol,Ставропольский край,СКФО,2024,3.4,57.2,,133.0,9.3,2.4,,,,281.6
dagestan,Республика Дагестан,СКФО,2020,15.7,31.3,235.0,86.7,14.8,1.6,0.17,-11.0,0.01,420.8
dagestan,Республика Дагестан,СКФО,2021,15.1,31.9,252.7,81.0,14.9,1.6,0.16,-6.0,0.01,443.0
dagestan,Республика Дагестан,СКФО,2022,12.1,35.1,274.2,94.5,12.7,1.7,0.14,-11.0,0.01,453.0
dagestan,Республика Дагестан,СКФО,2023,11.9,39.1,321.2,108.9,12.8,1.7,0.11,-17.0,0.01,477.5
dagestan,Республика Дагестан,СКФО,2024,11.2,44.6,,122.8,11.7,1.7,,,,460.3
